	logFC	AveExpr	t	P.Value	adj.P.Val	B
UNC5C	-2.6791616222	0.3783777714	-8.5153676062	3.99E-16	1.96E-14	26.0135180444
FAM43A	-2.2034314196	2.1765867833	-8.5024957831	4.38E-16	2.14E-14	25.8355470024
EVA1C	-2.7342910325	2.4258156509	-8.4880146977	4.86E-16	2.37E-14	25.6992315251
GPR183	-2.9865956699	1.7438499003	-8.4805580728	5.13E-16	2.50E-14	25.7058488295
SPEG	-3.4949411413	2.1331956625	-8.4783059653	5.21E-16	2.53E-14	25.6397384973
TSC22D1	-2.0034117993	6.6944945768	-8.4673029314	5.64E-16	2.73E-14	25.5083124908
PJA2	-1.5811589378	5.295618218	-8.4454225397	6.61E-16	3.18E-14	25.3137656801
HEPH	-2.8967895959	2.3442622433	-8.4332878188	7.21E-16	3.46E-14	25.3375121891
BCL2	-1.984558704	2.2459918629	-8.4329137347	7.23E-16	3.46E-14	25.3347648743
PREX2	-2.3310375021	0.9341524693	-8.4133063283	8.33E-16	3.97E-14	25.2745592202
FAM189A2	-2.5470126487	0.2483488684	-8.4043079267	8.88E-16	4.22E-14	25.2171697252
TPM1	-3.0348168529	6.5797959006	-8.3994917324	9.19E-16	4.35E-14	25.0428731793
ZFPM2	-2.8886763773	0.5073734958	-8.3973054211	9.34E-16	4.41E-14	25.1818882224
MAGI2	-1.9238851766	1.2552580541	-8.3916519663	9.73E-16	4.57E-14	25.1214658611
SLC16A4	-2.5633868088	0.3578116548	-8.3853123801	1.02E-15	4.77E-14	25.1012577845
MIR22HG	-1.8952211024	3.5180690741	-8.3825249001	1.04E-15	4.85E-14	24.8910035227
PODN	-3.5627965351	3.2045604095	-8.3604160114	1.22E-15	5.66E-14	24.7606270368
CPEB4	-1.7571431964	3.7708198626	-8.3385491913	1.42E-15	6.60E-14	24.5849155741
CRISPLD2	-3.1937243058	4.7134118224	-8.33695979	1.44E-15	6.65E-14	24.5658908717
SHE	-2.1229980356	0.8486252913	-8.3349616324	1.46E-15	6.72E-14	24.7422394966
MOGS	1.1841734253	6.0852850606	8.3270933188	1.54E-15	7.09E-14	24.501720931
MYCT1	-1.9963804823	1.3353420831	-8.3209170595	1.61E-15	7.38E-14	24.6268438761
CCDC80	-4.4448117497	4.4765086103	-8.3071938307	1.78E-15	8.11E-14	24.3812456255
MEN1	1.2333711685	5.28885785	8.3027209342	1.84E-15	8.35E-14	24.3840913904
CD34	-2.1546762785	4.4385396843	-8.2965791559	1.92E-15	8.69E-14	24.2702334764
DUSP1	-3.9208743541	6.5226914644	-8.2859994285	2.07E-15	9.34E-14	24.2741449288
TSPAN11	-2.5066041182	1.3992333581	-8.2828082701	2.12E-15	9.53E-14	24.3350952621
CDON	-2.6992110314	0.80027032	-8.2446042346	2.77E-15	1.25E-13	24.1054172997
TUB	-2.8141247177	0.8776891869	-8.2337499769	3.00E-15	1.34E-13	24.0308766713
THSD4	-2.3954451783	3.3185312312	-8.2065424881	3.63E-15	1.62E-13	23.6676817151
EGR1	-3.9517946571	6.4324478341	-8.1938160169	3.97E-15	1.77E-13	23.6342282674
PCSK7	-1.4388221825	3.9864919157	-8.1911037318	4.05E-15	1.80E-13	23.553706497
FAM110B	-2.8142589493	0.3838256685	-8.1793307477	4.40E-15	1.94E-13	23.6756911292
RBKS	-1.5335980295	1.4191765334	-8.1716740317	4.64E-15	2.05E-13	23.607951511
CYR61	-3.9201578819	6.0780302723	-8.1656174386	4.85E-15	2.13E-13	23.4187980468
PDE4D	-2.0087421163	3.5039099037	-8.1604273885	5.03E-15	2.20E-13	23.3430518906
HGF	-3.4022180584	0.2207930138	-8.1440307527	5.64E-15	2.46E-13	23.4321837494
KCNN3	-2.1720850202	0.6331043329	-8.1324468368	6.12E-15	2.66E-13	23.3527940502
ACTG2	-6.2672145554	5.0030091285	-8.1256695477	6.42E-15	2.78E-13	23.1749749342
SELE	-3.7206724618	1.0118374308	-8.1153434168	6.90E-15	2.98E-13	23.1706636546
CYP1B1	-3.8021555616	2.2152088376	-8.1021545671	7.57E-15	3.26E-13	23.0122237592
SH3BGR	-1.8151631768	1.0057983503	-8.0988403049	7.75E-15	3.33E-13	23.1083363296
DENND2A	-2.2213013463	1.9191691755	-8.0968826495	7.85E-15	3.36E-13	23.0124416979
GPC6	-3.5998624699	1.5660628545	-8.0925096838	8.10E-15	3.46E-13	23.0189541956
PLSCR4	-2.3665535715	1.9288313565	-8.0891663459	8.29E-15	3.53E-13	22.9827296034
SEMA3G	-2.0164575152	1.948665836	-8.0846659035	8.55E-15	3.63E-13	22.9456856731
CYBRD1	-3.0723494199	4.4480190554	-8.081352219	8.75E-15	3.70E-13	22.7896054756
ITPKB	-1.4436821814	4.5513465702	-8.0788209616	8.91E-15	3.76E-13	22.7578246112
FZD7	-2.0438175765	3.5621307491	-8.0779518114	8.96E-15	3.77E-13	22.7795133065
PALLD	-3.1478772644	6.0559267026	-8.0678971328	9.62E-15	4.03E-13	22.722103877
MYADM	-3.4392976517	5.1662553367	-8.0653594966	9.79E-15	4.09E-13	22.691294671
CLEC10A	-3.1582435525	0.0650422371	-8.0642661258	9.86E-15	4.11E-13	22.8828307695
CEP85L	-1.5834607429	1.7228191608	-8.0499767716	1.09E-14	4.53E-13	22.7374945373
USP2	-2.5726929769	0.0859881723	-8.0432124587	1.14E-14	4.73E-13	22.7477339818
PARD3B	-2.1689385726	1.7717945712	-8.0417481702	1.15E-14	4.77E-13	22.6452175895
ADAMTS5	-2.2511151242	1.217333554	-8.0389631146	1.18E-14	4.85E-13	22.6877491062
PKIG	-2.0421244716	4.448725931	-8.0338725807	1.22E-14	5.01E-13	22.4538480795
BIN1	-2.9333611216	3.630924139	-8.0310561456	1.24E-14	5.09E-13	22.4576474559
CD302	-1.839257507	0.6302190021	-8.0245102196	1.30E-14	5.31E-13	22.6259106557
USP12	-1.2523046993	4.1285282109	-8.022635836	1.32E-14	5.37E-13	22.3919137078
MXRA7	-2.0790119877	4.8897867524	-8.0141079324	1.40E-14	5.68E-13	22.3162150583
NACC2	-1.7876472681	3.7873858869	-8.0049625232	1.49E-14	6.03E-13	22.2701956037
GPAT3	-2.7265559964	0.3293778595	-8.0009303893	1.53E-14	6.19E-13	22.4588879286
CTGF	-4.150671259	5.6830143522	-7.998980138	1.55E-14	6.25E-13	22.2619930577
EDNRA	-2.4486725572	2.3319148533	-7.9746456244	1.84E-14	7.38E-13	22.1714831908
HDAC4	-1.4770417335	2.8885630832	-7.966138898	1.95E-14	7.81E-13	22.0739957846
RAP1A	-1.0970379257	5.5114809605	-7.9641487095	1.98E-14	7.89E-13	21.9694762625
LPP	-2.0890528433	6.2038430689	-7.9554567464	2.10E-14	8.36E-13	21.9430515703
TOP2A	3.3177173803	6.3892427457	7.9377390765	2.37E-14	9.42E-13	21.9706139289
LTBP4	-2.6377974972	5.3844426571	-7.9316339334	2.48E-14	9.80E-13	21.777397671
TSPYL2	-1.5437824551	4.026072143	-7.928382912	2.53E-14	9.99E-13	21.7441993015
FAM129A	-3.2289205213	4.3536665685	-7.9242638244	2.61E-14	1.03E-12	21.7202153364
ABCB1	-2.1513296884	0.2715623358	-7.919710016	2.69E-14	1.05E-12	21.9172250946
GSN	-2.4364144529	7.8258277789	-7.9143257349	2.79E-14	1.09E-12	21.7281026665
GULP1	-2.6155050365	1.4384453713	-7.9131472291	2.81E-14	1.10E-12	21.8185138321
NFIA	-2.1512547665	4.1191832478	-7.9050040594	2.98E-14	1.16E-12	21.5816578638
MGLL	-2.58866432	4.2019861525	-7.9013614273	3.05E-14	1.18E-12	21.5572795575
TGFB1I1	-2.3993591827	4.0294647206	-7.9000444936	3.08E-14	1.19E-12	21.5588480008
IL33	-3.4684008294	1.8301035201	-7.8943741766	3.20E-14	1.24E-12	21.6029528051
HBEGF	-2.6291380204	3.9498585752	-7.8698633676	3.79E-14	1.45E-12	21.3489007994
CACNB2	-2.250796493	0.2176140608	-7.8682627619	3.83E-14	1.47E-12	21.5682873036
TSHZ3	-2.5365010252	1.9932948515	-7.8662717266	3.88E-14	1.48E-12	21.4498978987
SAMD4A	-2.2347685714	2.8023158255	-7.8641939068	3.94E-14	1.50E-12	21.3710953062
ZFP36	-3.0485781352	7.1195577997	-7.852237097	4.28E-14	1.62E-12	21.3045057622
GNAZ	-3.0111764517	0.0391144279	-7.8488833026	4.38E-14	1.66E-12	21.4398868829
NFIX	-2.2065733676	4.3714314359	-7.8450912992	4.49E-14	1.70E-12	21.174624111
SNRK	-1.0367458806	4.2027115863	-7.8433879006	4.54E-14	1.71E-12	21.1807192486
SBDS	-1.1364500846	5.4479200421	-7.8305648061	4.96E-14	1.86E-12	21.0666504764
WISP2	-3.8868099687	0.185470201	-7.8269982687	5.08E-14	1.90E-12	21.2707874183
PRKAG2	-1.4140718027	3.5602644675	-7.8262524075	5.11E-14	1.91E-12	21.0854732093
MYH11	-6.9866724642	5.6594212217	-7.8202738046	5.32E-14	1.98E-12	21.1386586485
FAM124A	-2.5682678393	0.0554082287	-7.8169802319	5.44E-14	2.02E-12	21.2400801381
MN1	-2.9364676052	0.8984648781	-7.7831554249	6.86E-14	2.54E-12	20.978639444
GADD45B	-2.5624258817	4.635868703	-7.782574123	6.89E-14	2.54E-12	20.7564675533
CACNA2D1	-2.941375587	1.4448022373	-7.7823397493	6.90E-14	2.54E-12	20.9251937554
HIPK3	-1.5218238915	5.2181693196	-7.7810202599	6.96E-14	2.56E-12	20.7366652667
MYL9	-4.2091456669	6.7070828856	-7.7782362479	7.09E-14	2.60E-12	20.8130068913
PDGFRA	-2.8124155992	3.345870927	-7.7774830715	7.13E-14	2.61E-12	20.7593204474
RCC1	1.4409535642	5.7974954541	7.7606950868	7.99E-14	2.91E-12	20.6636160567
ACTA2	-4.1508892311	6.6864791085	-7.7522201672	8.46E-14	3.08E-12	20.6354576876
STK40	-1.3346401884	4.9417045696	-7.7231305658	1.03E-13	3.74E-12	20.3503087407
DCHS1	-2.2142705344	3.0525840549	-7.7199836805	1.05E-13	3.81E-12	20.3951347929
SSPN	-2.0134059439	3.2986818597	-7.7049747233	1.17E-13	4.21E-12	20.2856430848
LIFR	-2.6316793021	2.4842254947	-7.6773999126	1.40E-13	5.06E-12	20.1309950553
LMCD1	-2.6233485422	3.9428360831	-7.6762048049	1.42E-13	5.08E-12	20.0654034291
TPPP3	-2.3693902814	2.5163649617	-7.6641658092	1.54E-13	5.50E-12	20.0620620869
C16orf45	-2.2358324497	2.5828636686	-7.6520201758	1.67E-13	5.95E-12	19.9672962041
ARHGAP6	-2.5514764603	1.0119872161	-7.6460665401	1.74E-13	6.18E-12	19.9972442144
PTPRN2	-2.4109123787	0.8682396026	-7.6372200028	1.84E-13	6.54E-12	19.9979268586
CPEB2	-1.6553013482	2.8412338167	-7.6346532393	1.87E-13	6.64E-12	19.8452008272
C16orf59	3.4254629164	2.4370992377	7.6337646586	1.88E-13	6.66E-12	19.9357125322
ADAMTS4	-3.0383061695	3.5822236879	-7.6271161596	1.97E-13	6.95E-12	19.7608738103
ATF3	-3.6572645681	4.938248373	-7.6241846411	2.01E-13	7.07E-12	19.735569553
NR2F1	-2.2853910418	2.7199199307	-7.6197401427	2.07E-13	7.27E-12	19.746374809
BVES	-2.9812928474	0.6889709166	-7.6134280565	2.16E-13	7.56E-12	19.8646321939
HSPB8	-3.960953556	4.0953301116	-7.5978334298	2.40E-13	8.37E-12	19.5573810889
TGFB3	-2.5936237891	3.1870154838	-7.5936904187	2.47E-13	8.59E-12	19.5713718991
AGRN	1.7982988505	8.1524262567	7.5787049188	2.73E-13	9.47E-12	19.4012854837
CDK1	3.2900036012	4.9432011995	7.5711507771	2.87E-13	9.94E-12	19.6238996511
PDGFD	-2.1894851496	1.8818424892	-7.5693679261	2.90E-13	1.00E-11	19.4889509133
LIG1	1.543504103	5.3171371019	7.5676494243	2.94E-13	1.01E-11	19.4428163739
SLC8A1	-2.3102467009	2.3210705277	-7.5594189384	3.10E-13	1.07E-11	19.387025659
RGMA	-3.3274723189	0.5632884349	-7.5524270137	3.25E-13	1.11E-11	19.4760814691
NFIL3	-1.876673846	4.1332536915	-7.5520604247	3.26E-13	1.11E-11	19.2376682812
CDC37L1	-1.1251232771	3.5410290984	-7.5509281152	3.28E-13	1.12E-11	19.2847513066
SYT11	-2.1981961318	2.5107697915	-7.5388418214	3.56E-13	1.21E-11	19.2481508935
MEIS1	-1.727340668	3.3938810541	-7.5371078877	3.60E-13	1.22E-11	19.1678140587
RP11-443B20.1	2.2150912204	0.0181879462	7.536974414	3.60E-13	1.22E-11	19.2596407291
ZNF521	-2.4942051867	1.1107905718	-7.5358866076	3.63E-13	1.23E-11	19.3710567639
LRCH2	-2.4821199685	0.2013720494	-7.5324490506	3.71E-13	1.25E-11	19.3594269017
ZBTB21	-1.2200779558	3.4003009208	-7.5296637041	3.78E-13	1.27E-11	19.1525769924
CACNA1C	-2.3834923816	1.9913457329	-7.5263757589	3.87E-13	1.30E-11	19.1972122707
FOSB	-4.8556396892	5.0182785632	-7.5261257158	3.87E-13	1.30E-11	19.1353579043
DUSP8	-2.1029043904	1.4678925934	-7.5240458027	3.93E-13	1.31E-11	19.2387786161
PHYHD1	-2.7046882189	1.0523191996	-7.5169720409	4.12E-13	1.37E-11	19.2051950247
WWTR1	-1.9226906859	4.8859418494	-7.4938847917	4.80E-13	1.60E-11	18.8456373214
CDC25C	3.3715896847	2.0067101304	7.4889705703	4.96E-13	1.64E-11	18.9918922229
SOD3	-3.1573052796	3.5047709117	-7.4873869931	5.01E-13	1.66E-11	18.8342184086
ABL1	-1.3005181686	5.6765561101	-7.4836321446	5.14E-13	1.70E-11	18.7775460545
HN1	1.6552031944	7.119015224	7.48205722	5.19E-13	1.71E-11	18.7741159017
CXCL2	-3.4474656553	0.759504836	-7.480741062	5.23E-13	1.72E-11	18.9814600198
PNPLA7	-1.8343128515	1.1755946966	-7.4612280144	5.96E-13	1.95E-11	18.8760806729
KLF4	-2.5736689819	4.3931205542	-7.4590886846	6.04E-13	1.98E-11	18.6284573721
ITGA9	-1.931533654	2.2780560127	-7.4512740134	6.36E-13	2.08E-11	18.68963428
MKI67	3.3114386215	5.9710684813	7.4486140221	6.47E-13	2.11E-11	18.7828038418
EMP1	-3.1209899459	6.0040852233	-7.4446067667	6.65E-13	2.16E-11	18.5727617522
ILK	-1.5059112608	2.3769400803	-7.4414767415	6.79E-13	2.20E-11	18.6563492154
GGTA1P	-2.5482968827	0.637841996	-7.4352030413	7.07E-13	2.29E-11	18.7290274726
ARID5A	-1.7321623521	3.9926982542	-7.4257623526	7.53E-13	2.43E-11	18.4206468653
SELP	-3.1514851689	0.7466071016	-7.4254215749	7.55E-13	2.43E-11	18.6251526224
TTLL7	-2.424050112	1.7155147559	-7.4120761083	8.24E-13	2.64E-11	18.480434815
DES	-8.7188134352	3.9838139431	-7.4006194989	8.88E-13	2.85E-11	18.3971872596
OSBPL10	-1.8970184993	3.6870559653	-7.3955460984	9.19E-13	2.93E-11	18.2438144004
PALM	-2.8149958894	2.277711733	-7.3937663136	9.29E-13	2.96E-11	18.326608172
IGDCC4	-2.403687545	0.7109274285	-7.3918590452	9.41E-13	2.99E-11	18.466558772
RGAG4	-2.2729918225	0.8372172927	-7.3913756264	9.44E-13	3.00E-11	18.3995926129
FAM83H	2.4738095893	6.9663609862	7.3872989699	9.70E-13	3.07E-11	18.2013862909
KIF26A	-2.4122147096	0.3676712197	-7.376794995	1.04E-12	3.28E-11	18.3754352467
ELN	-3.5556433321	3.6018017759	-7.359327972	1.16E-12	3.67E-11	18.0108977154
ADAMTSL1	-2.8209130221	0.1828149801	-7.3586863703	1.17E-12	3.67E-11	18.2595133731
RHOB	-2.1353569384	7.0532142278	-7.3585602153	1.17E-12	3.67E-11	18.0374610827
CYGB	-2.1129601108	3.4314287083	-7.3520941143	1.22E-12	3.82E-11	17.9666551043
LATS2	-1.6063594932	3.4896450584	-7.3509554403	1.23E-12	3.84E-11	17.9817164558
ROR2	-3.3364414541	1.901079628	-7.3277642286	1.43E-12	4.46E-11	17.9389897037
NEK1	-1.1242022356	2.8493591232	-7.3253638537	1.45E-12	4.52E-11	17.8894217679
ZNF154	-1.8999583005	0.2763655763	-7.3152839991	1.55E-12	4.82E-11	17.9935009694
FAM149A	-2.6702184707	0.7322704799	-7.311659428	1.59E-12	4.93E-11	17.8888524597
DCN	-4.3235313936	6.3278522938	-7.3063810254	1.65E-12	5.09E-11	17.7180073591
MATN2	-3.1248747498	3.9061407111	-7.2988001532	1.73E-12	5.33E-11	17.605864215
TACC3	2.3564187499	5.7999139465	7.298512645	1.73E-12	5.33E-11	17.7272460791
TIPARP	-1.8227652016	4.5903470215	-7.2920511672	1.81E-12	5.53E-11	17.5453250097
MITF	-2.1437731084	1.718821191	-7.2837445917	1.91E-12	5.83E-11	17.6899114065
ADAMTS9	-2.0496102024	2.3963126649	-7.2768627444	2.00E-12	6.08E-11	17.582601691
POU6F1	-1.5700851029	1.5470932044	-7.2747879319	2.02E-12	6.15E-11	17.6803903357
IL16	-2.2416209353	2.0318628012	-7.2744075527	2.03E-12	6.15E-11	17.5986818879
HABP4	-1.536590268	2.5968491085	-7.2696746812	2.09E-12	6.32E-11	17.5479332934
CRTAP	-1.2720360292	6.5112177929	-7.2662463217	2.14E-12	6.45E-11	17.3946080336
UBE2C	4.1254733484	5.3871869344	7.2569872485	2.27E-12	6.83E-11	17.6320034453
LHFP	-2.0386646059	3.5142755349	-7.2457357208	2.44E-12	7.33E-11	17.3023351254
F13A1	-3.224438599	2.8073741871	-7.2429049638	2.49E-12	7.45E-11	17.3138178344
SHMT2	1.3270372551	6.3993480569	7.2377137379	2.57E-12	7.69E-11	17.2155017125
TMEM119	-2.7518419089	2.6782900482	-7.2362285744	2.60E-12	7.75E-11	17.3009042339
TLN1	-1.5313584647	7.5087984209	-7.223687742	2.82E-12	8.38E-11	17.1677652827
TAGLN	-4.2012226557	6.7621682559	-7.2210819556	2.86E-12	8.51E-11	17.190700515
HMGB3	1.9466386133	5.8416709622	7.2147545764	2.98E-12	8.84E-11	17.1542387782
ARHGAP24	-1.9687231957	1.5316637679	-7.2030341519	3.22E-12	9.52E-11	17.2003535982
ARID5B	-1.7129987341	5.1248859912	-7.1968015052	3.35E-12	9.89E-11	16.9405705257
LINC00641	-1.5025396805	1.5455130154	-7.177343591	3.80E-12	1.12E-10	17.0310301521
CASP2	1.1030731736	5.1661391796	7.1707663091	3.96E-12	1.16E-10	16.8690108199
C3orf70	-2.2716503722	1.2740853815	-7.1635745199	4.15E-12	1.22E-10	16.9395837611
STARD8	-1.7753404174	1.4170529593	-7.1595797197	4.26E-12	1.25E-10	16.9578998931
RCSD1	-2.2348217087	2.1300145125	-7.1566574691	4.34E-12	1.27E-10	16.8451039969
THRA	-1.4258605861	3.9813136086	-7.1560818592	4.35E-12	1.27E-10	16.7070909752
TPM2	-3.4334781245	6.511107764	-7.1547663154	4.39E-12	1.28E-10	16.7410462414
POLR2H	1.1332537006	5.5152813636	7.153340109	4.43E-12	1.29E-10	16.7233700711
FOXN3	-1.3678574625	4.9353250495	-7.1504044081	4.51E-12	1.31E-10	16.6462475936
FLRT2	-3.1523114198	1.1609717716	-7.1479140936	4.59E-12	1.33E-10	16.8654151211
ANTXR2	-2.3761434762	4.4663316337	-7.1447515663	4.68E-12	1.35E-10	16.6202525856
RBP7	-2.3342862183	0.4376781876	-7.140654499	4.81E-12	1.38E-10	16.8898241026
CD69	-2.8402183713	0.9230688215	-7.1392530798	4.85E-12	1.39E-10	16.81228311
MEG3	-2.653122814	2.646859502	-7.1390658362	4.85E-12	1.39E-10	16.6797421534
OTX1	3.9278833133	1.1665911497	7.1388874873	4.86E-12	1.39E-10	16.807341186
PCDH18	-2.0156741047	1.8781291505	-7.1188644724	5.52E-12	1.58E-10	16.6392904908
RAB23	-2.1000500316	2.2980437901	-7.1085900426	5.90E-12	1.68E-10	16.5297614737
F8	-1.6861605806	1.7177570988	-7.1063166687	5.99E-12	1.70E-10	16.5938578702
DSEL	-2.228885547	0.4866537247	-7.1028632537	6.12E-12	1.74E-10	16.6635086673
CALD1	-3.0038906661	6.5244435286	-7.0996954295	6.24E-12	1.77E-10	16.3837623857
ANXA6	-2.9422721005	5.2624468994	-7.0927334012	6.53E-12	1.85E-10	16.3064343093
ZBTB4	-1.0772363117	5.7459774501	-7.0875585521	6.75E-12	1.90E-10	16.2541593031
CD200	-2.1657177747	2.0435260066	-7.0872901196	6.76E-12	1.90E-10	16.4145401178
ZBTB47	-1.1984106953	3.5787087608	-7.084105109	6.90E-12	1.94E-10	16.2918575452
AKAP12	-3.0681953417	3.9863153687	-7.0797441166	7.09E-12	1.99E-10	16.2246398724
DAAM2	-2.0768508745	1.6614801527	-7.0737568884	7.37E-12	2.06E-10	16.3828842349
TMTC1	-2.4037090665	2.2060627007	-7.0639587711	7.84E-12	2.19E-10	16.2163240509
RUSC2	-1.6983614106	3.5952634353	-7.0553844543	8.28E-12	2.31E-10	16.1134870123
NTRK2	-3.2738380633	0.3352981088	-7.0495263177	8.59E-12	2.39E-10	16.2682536022
FYCO1	-1.4260888753	4.862823807	-7.0390723682	9.18E-12	2.54E-10	15.9513638127
DUS1L	1.2551459525	6.638386224	7.0302429257	9.71E-12	2.69E-10	15.9010183569
TK1	3.0287012021	5.6414989807	7.0277855873	9.86E-12	2.72E-10	16.1409933147
RASSF3	-1.5113555707	4.3118684391	-7.0269999217	9.91E-12	2.73E-10	15.8883973313
REV3L	-1.3725970868	3.362790774	-7.0267145773	9.93E-12	2.73E-10	15.9451473274
NACAD	-2.249415383	0.4586391134	-7.0261129954	9.97E-12	2.74E-10	16.1687221671
HGH1	1.4608098284	4.8214858134	7.0213981287	1.03E-11	2.81E-10	15.9948768092
SLC52A2	1.3849816727	6.0343915495	7.0211357531	1.03E-11	2.81E-10	15.8819827151
PMP22	-2.8390771033	4.5651365456	-7.0193501098	1.04E-11	2.84E-10	15.844209181
ANKRD44	-1.6838822205	2.1147005712	-7.0151166433	1.07E-11	2.91E-10	15.9859934626
TSC22D3	-2.0824417366	5.7421194082	-7.0010897144	1.17E-11	3.17E-10	15.7307938191
CYYR1	-1.5688064175	2.1980923342	-6.9989540857	1.18E-11	3.21E-10	15.870125349
EMILIN1	-3.2875627259	4.9367349723	-6.9658829505	1.46E-11	3.94E-10	15.5215351191
A2M	-2.9498605813	7.6504588659	-6.9656496389	1.46E-11	3.94E-10	15.6094283643
TARBP2	1.2392644267	4.5833128255	6.9641396944	1.47E-11	3.97E-10	15.6441648464
PPP1R12A	-1.2205265631	5.3152148213	-6.9565693716	1.55E-11	4.15E-10	15.440103812
CMAHP	-2.1729321843	1.0872665579	-6.9458494145	1.65E-11	4.43E-10	15.6507682789
SOCS3	-2.8702439183	5.947973748	-6.9423132528	1.69E-11	4.52E-10	15.3975344714
NAP1L5	-1.7533118958	1.4530119507	-6.9397826291	1.72E-11	4.58E-10	15.5729349811
FBLN2	-3.5092956678	4.3278613538	-6.938157278	1.74E-11	4.62E-10	15.3565870912
IL6ST	-1.8080692988	5.4817001582	-6.9291662689	1.84E-11	4.88E-10	15.2811021697
ZNF695	3.1041860337	-0.135717292	6.9259187189	1.87E-11	4.97E-10	15.5210870459
NFATC1	-2.0881173601	2.4250345057	-6.924938912	1.89E-11	4.99E-10	15.3872352453
MTURN	-1.6047799371	3.9575749631	-6.9245455153	1.89E-11	4.99E-10	15.2613843988
GLI2	-2.8954904781	-0.0952558044	-6.9229062266	1.91E-11	5.03E-10	15.5787068901
ZNF25	-1.0575431152	2.3451465942	-6.9196146622	1.95E-11	5.13E-10	15.4198756577
ADAMTS15	-2.9586972872	0.8806799185	-6.91706725	1.98E-11	5.20E-10	15.4537154194
SCN1B	-2.2447855259	0.8606890108	-6.8981851732	2.23E-11	5.83E-10	15.3859223988
SLC2A3	-2.7168786723	4.1160738045	-6.8980875474	2.23E-11	5.83E-10	15.1075303765
TTYH3	1.3922859193	6.3798579175	6.8979287499	2.23E-11	5.83E-10	15.1088610186
KLHL13	-2.4733508205	0.5879222702	-6.8968029444	2.25E-11	5.86E-10	15.3265817849
DUSP3	-1.1730937967	5.4243646141	-6.8955740686	2.27E-11	5.89E-10	15.0659383379
CCND2	-2.619872536	4.0399309912	-6.8934830151	2.30E-11	5.96E-10	15.0721634422
FAM72B	2.8401031475	0.0962952936	6.8929089475	2.30E-11	5.97E-10	15.3280653566
PPM1K	-1.5243735048	2.8520951152	-6.8813642454	2.48E-11	6.40E-10	15.092270816
JUN	-2.4055882606	6.9653536361	-6.875913693	2.56E-11	6.61E-10	15.012709946
NFATC2	-1.920884229	2.6442545481	-6.8736162835	2.60E-11	6.70E-10	15.0539284998
RFTN2	-1.5205946793	0.4939292555	-6.866809381	2.71E-11	6.96E-10	15.2397630457
TRPS1	-2.6697501633	1.9299533044	-6.8596081511	2.84E-11	7.27E-10	15.0351515581
ZFHX4	-3.1580504321	0.7973308714	-6.8531042968	2.95E-11	7.55E-10	15.0860016619
GTSE1	3.4521527815	3.3362025432	6.8480461259	3.05E-11	7.78E-10	15.1364366895
TCF4	-1.9533674209	4.261693304	-6.8392972391	3.22E-11	8.20E-10	14.7440337945
TPX2	3.497425627	5.7650350985	6.8382762214	3.24E-11	8.24E-10	15.015200375
ALDH1B1	-1.9555178354	4.7060949883	-6.8272766531	3.47E-11	8.80E-10	14.6581927052
CCSER2	-1.0465253402	4.5159328418	-6.8182244716	3.67E-11	9.29E-10	14.6123545037
SORCS2	-3.3551091276	0.5708370675	-6.8177588751	3.68E-11	9.30E-10	14.8881371116
SAMD8	-1.0404411109	4.1686408765	-6.8124461223	3.80E-11	9.60E-10	14.5965630606
RPS6KA2	-1.7484650855	3.8594891713	-6.8119764765	3.81E-11	9.61E-10	14.5778348494
JDP2	-1.737829093	3.6416384573	-6.8051593576	3.98E-11	1.00E-09	14.5713831947
NPR2	-1.484689361	1.7880078977	-6.8009857791	4.08E-11	1.02E-09	14.7203395404
CD248	-2.4878034649	4.1615364249	-6.8005867641	4.09E-11	1.02E-09	14.5140175847
KIF18B	4.4131842037	3.6889326847	6.8003572439	4.10E-11	1.02E-09	14.8355989908
ARHGEF26	-2.0752655279	1.7565748889	-6.7939650526	4.26E-11	1.06E-09	14.6350545068
NAA40	1.2248830828	4.4284268159	6.793662153	4.27E-11	1.06E-09	14.629229978
GABARAPL1	-1.4240086893	4.9691446546	-6.792715165	4.29E-11	1.07E-09	14.4439832667
INPP5A	-1.1808499126	4.173900806	-6.7905008306	4.35E-11	1.08E-09	14.4536684187
ATP8B2	-2.0389554187	3.1140754516	-6.7895570865	4.38E-11	1.09E-09	14.508850799
HJURP	3.4389519262	3.647848625	6.7741890474	4.81E-11	1.19E-09	14.7020489584
DPYSL2	-2.0349821618	4.4839084595	-6.7661523449	5.06E-11	1.25E-09	14.2931407835
PDIA4	1.1634580044	7.6561843718	6.7560858796	5.38E-11	1.33E-09	14.2225320811
GPRASP2	-1.3298947821	2.1369132197	-6.7460699099	5.72E-11	1.41E-09	14.3729440754
PRDM8	-2.3235851908	0.5624120208	-6.7456611759	5.74E-11	1.41E-09	14.4674718778
TMEM88	-1.6327139536	0.8054166689	-6.7369229589	6.06E-11	1.49E-09	14.4225787179
SVIL	-2.1224134401	5.7593226784	-6.7295623178	6.34E-11	1.55E-09	14.081640148
RORA	-1.7635138987	2.1488587944	-6.7222197364	6.63E-11	1.62E-09	14.1985331419
KBTBD11	-2.3789143058	0.3392237259	-6.7142570213	6.96E-11	1.70E-09	14.290069678
AKAP13	-1.2150845268	5.7410679717	-6.7126200235	7.03E-11	1.71E-09	13.963879032
TRABD2B	-2.7264008865	0.1609258894	-6.7118327326	7.06E-11	1.72E-09	14.2819871025
